year,total_annual_area_km2,total_annual_area_km2_trend,total_annual_area_km2_anomaly,total_annual_area_km2_anomaly_z,median_ratio,median_ratio_trend,median_ratio_anomaly,median_ratio_anomaly_z,zero_ratio_share,zero_ratio_share_trend,zero_ratio_share_anomaly,zero_ratio_share_anomaly_z,usable_share
2000,279.1037533616177,288.173466097247,-9.06971273562931,-0.3029505300745975,0.7274479693632172,0.7631145144556495,-0.0356665450924322,-0.7174716859793833,0.3192709660973744,0.2896460714916031,0.0296248946057712,0.5278524922205095,0.5056079530971196
2001,292.5864504196971,290.752036961253,1.8344134584440892,0.0612738843897624,0.7089562248435672,0.7560967953420619,-0.0471405704984946,-0.9482842957155894,0.2963293397909763,0.283605168728803,0.0127241710621732,0.2267176135472559,0.5180983940861585
2002,275.4937721171551,293.330607825259,-17.836835708103877,-0.5957938239207521,0.7128839359673557,0.7490790762284725,-0.0361951402611168,-0.7281049577441089,0.3346928371144532,0.2775642659660047,0.0571285711484485,1.0179093988009895,0.4695386184042824
2003,239.14225754401645,295.909178689265,-56.76692114524855,-1.8961536437748396,0.6849280714045397,0.7420613571148849,-0.0571332857103451,-1.1492987256800973,0.3905174611266888,0.2715233632032046,0.1189940979234842,2.1202212525745088,0.2950548049961764
2004,288.58007684678097,298.487749553271,-9.907672706490018,-0.3309404372252685,0.723116078905393,0.7350436380012955,-0.0119275590959024,-0.2399359375004489,0.2546520520010196,0.2654824604404062,-0.0108304084393865,-0.1929747991535367,0.5829722151414733
2005,316.50519126902327,301.0663204172779,15.438870851745378,0.5156959481103448,0.7451765811383168,0.7280259188877078,0.0171506622506089,0.345004387969742,0.2457303084374203,0.2594415576776061,-0.0137112492401857,-0.2443052432488869,0.5665307162885547
2006,339.84254467674606,303.6448912812839,36.19765339546217,1.2090899241528903,0.7682295963019865,0.7210081997741185,0.047221396527868,0.94991019997457,0.1695131277083864,0.253400654914806,-0.0838875272064195,-1.494696973318179,0.6928371144532246
2007,342.25275212591885,306.2234621452899,36.02928998062896,1.203466175390869,0.7665837005983722,0.7139904806605308,0.0525932199378413,1.0579703215464549,0.1639051746112668,0.2473597521520076,-0.0834545775407407,-1.4869827328769647,0.7208768799388223
2008,331.61537252311507,308.8020330092959,22.813339513819187,0.7620211907409259,0.7549397587095942,0.7069727615469414,0.0479669971626527,0.9649087747768096,0.1853173591639051,0.2413188493892075,-0.0560014902253023,-0.9978272185219385,0.6785623247514657
2009,334.0017101211173,311.3806038733028,22.62110624781451,0.755600130721538,0.7692068171389339,0.6999550424333538,0.06925177470558,1.3930754275839368,0.2088962528677032,0.2352779466264092,-0.0263816937587059,-0.4700655642776319,0.6288554677542697
2010,323.6957692509409,313.9591747373088,9.7365945136321,0.3252260082547218,0.7683775918927467,0.6929373233197644,0.0754402685729822,1.5175637714145953,0.2166709151159826,0.2292370438636091,-0.0125661287476264,-0.2239016362847495,0.638159571756309
2011,362.3797544822169,316.5377456013148,45.84200888090214,1.531234923857657,0.7793769865654929,0.6859196042061768,0.0934573823593161,1.8799977826501544,0.1464440479225082,0.2231961411008107,-0.0767520931783024,-1.3675587443071504,0.75108335457558
2012,268.5070326200868,319.1163164653208,-50.60928384523402,-1.6904735369818094,0.710494387070302,0.6789018850925874,0.0315925019777145,0.6355178389024969,0.3143002803976548,0.2171552383380106,0.0971450420596442,1.7309176366843526,0.549834310476676
2013,346.4448861209818,321.6948873293277,24.749998791654093,0.8267103349173548,0.6261946646962214,0.6718841659789998,-0.0456895012827783,-0.9190944464051304,0.1520520010196278,0.2111143355752105,-0.0590623345555826,-1.0523649419311725,0.8312515931684935
2014,270.25579710043536,324.2734581933337,-54.01766109289832,-1.8043216514670315,0.5880378466740083,0.6648664468654104,-0.0768286001914021,-1.545491585122974,0.2616619933724191,0.2050734328124122,0.0565885605600068,1.0082875608593678,0.725210298241142
2015,357.1877917935855,326.8520290573397,30.33576273624584,1.0132884766084185,0.650189794665901,0.6578487277518228,-0.0076589330859218,-0.1540678419992025,0.1338261534539893,0.199032530049612,-0.0652063765956227,-1.1618386783376649,0.850879429008412
2016,328.3267894601377,329.4305999213457,-1.1038104612079565,-0.0368699620453698,0.5867186522892966,0.6508310086382334,-0.0641123563489367,-1.289690388642213,0.1825133826153454,0.1929916272868137,-0.0104782446714683,-0.1866999912583831,0.8266632679072139
2017,319.8358744781611,332.0091707853526,-12.173296307191492,-0.4066177922627256,0.6339152339478641,0.6438132895246458,-0.0098980555767816,-0.1991102475495112,0.2021412184552638,0.1869507245240136,0.0151904939312502,0.2706622314230916,0.774407341320418
2018,315.05638481544094,334.5877416493586,-19.53135683391764,-0.652394963146604,0.6048537946186888,0.6367955704110564,-0.0319417757923675,-0.6425438648888879,0.2067295437165434,0.1809098217612135,0.0258197219553299,0.4600524242846316,0.7801427478970175
2019,287.27192060591244,337.1663125133646,-49.89439190745213,-1.6665944023487729,0.5718919150135036,0.6297778512974688,-0.0578859362839652,-1.1644391177368305,0.24917155238338,0.1748689189984151,0.0743026333849649,1.323914590506483,0.7217690542951822
2020,323.31365098107904,339.74488337737057,-16.431232396291534,-0.5488432444701701,0.5909270311566446,0.6227601321838794,-0.0318331010272348,-0.6403577527560431,0.2183278103492225,0.168828016235615,0.0494997941136074,0.8819808487075006,0.7740249808819781
2021,338.53577773805216,342.3234542413775,-3.787676503325315,-0.1265176348889105,0.6129873539140995,0.6157424130702918,-0.0027550591561922,-0.0554210376318184,0.1688758603109865,0.1627871134728167,0.0060887468381697,0.1084884937414497,0.8275554422635738
2022,391.3778066039859,344.9020251053835,46.47578149860243,1.5524044753170756,0.681081356905531,0.6087246939567024,0.0723566629488285,1.4555336611158938,0.1005607953097119,0.1567462107100166,-0.0561854154003046,-1.0011043732021143,0.9319398419576854
2023,358.7048945019142,347.48059596938947,11.224298532524756,0.3749189515986794,0.6441304027684438,0.6017069748431148,0.042423427925329,0.8533937974573428,0.1147081315319908,0.1507053079472182,-0.0359971764152274,-0.6413929749465801,0.9016059138414478
2024,347.889900074931,350.05916683339547,-2.16926675846446,-0.0724588014533854,0.5619013807646175,0.5946892557295254,-0.0327878749649078,-0.6595640780397574,0.1920723935763446,0.1446644051844181,0.0474079883919265,0.8447093283148114,0.87509559010961
